phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
total_bilirubin	10	94596855	94596893	10_94377244_94971535	AC	{14.5: 157.16999810934067, 15.5: 1661.5100101940334, 16.5: 196.33999745547771, 18.5: 5360.629991644993, 19.5: 16939.830982863903, 20.5: 152323.27028776705, 21.0: 0.0, 21.5: 190027.45026523992, 22.0: 11.389999844133854, 22.5: 70911.34002752975, 23.5: 207927.39048599638, 24.5: 7221.649986082688, 25.5: 6562.990015704185, 26.5: 51.62999957613647}	3.76e-12	-	not	0.0	0.0										0.202, 0.176, 0.476, 0.165, 0.0162	NA, NA, NA, NA, -	{14.5: 0.21, 15.5: 3.96, 16.5: 0.16, 18.5: 288.11, 19.5: 141.08, 20.5: 3032.62, 21.0: 0.0, 21.5: 3792.36, 22.0: 0.08, 22.5: 1491.55, 23.5: 4353.48, 24.5: 163.15, 25.5: 122.59, 26.5: 0.16}	{14.5: 3.29, 15.5: 15.86, 16.5: 0.61, 18.5: 42.01, 19.5: 185.52, 20.5: 5204.94, 21.0: 0.0, 21.5: 3435.4, 22.0: 10.2, 22.5: 2029.76, 23.5: 2265.41, 24.5: 193.69, 25.5: 17.13, 26.5: 1.61}	{14.5: 0.0, 15.5: 0.06, 16.5: 0.0, 18.5: 14.63, 19.5: 36.86, 20.5: 2108.38, 21.0: 0.0, 21.5: 248.97, 22.0: 0.21, 22.5: 288.92, 23.5: 37.68, 24.5: 1.56, 25.5: 0.62, 26.5: 0.01}	{14.5: 5.33, 15.5: 48.04, 16.5: 6.65, 18.5: 156.99, 19.5: 597.72, 20.5: 4901.86, 21.0: 0.0, 21.5: 6798.18, 22.0: 0.26, 22.5: 2282.52, 23.5: 6774.32, 24.5: 236.07, 25.5: 194.23, 26.5: 0.82}	{14.5: 9.85, 15.5: 78.88, 16.5: 6.91, 18.5: 255.21, 19.5: 624.72, 20.5: 7278.6, 21.0: 0.0, 21.5: 8200.21, 22.0: 0.46, 22.5: 3311.21, 23.5: 8614.45, 24.5: 452.48, 25.5: 227.38, 26.5: 3.58}
triglycerides	10	94596855	94596893	10_93333105_95482918	AC	{14.5: 155.93, 15.5: 1663.59, 16.5: 195.24, 18.5: 5372.03, 19.5: 16985.77, 20.5: 152813.42, 21.0: 0.0, 21.5: 190583.17, 22.0: 11.59, 22.5: 71045.61, 23.5: 208438.42, 24.5: 7263.23, 25.5: 6586.86, 26.5: 52.66}	3.94e-17	+	not	0.0	0.0										0.578, 0.76, 0.743, 0.222, 0.00541	NA, NA, NA, NA, +	{14.5: 0.18, 15.5: 3.94, 16.5: 0.16, 18.5: 295.92, 19.5: 143.17, 20.5: 3039.25, 21.0: 0.0, 21.5: 3806.08, 22.0: 0.08, 22.5: 1484.84, 23.5: 4396.26, 24.5: 167.19, 25.5: 124.21, 26.5: 0.16}	{14.5: 3.3, 15.5: 15.94, 16.5: 0.52, 18.5: 41.26, 19.5: 185.99, 20.5: 5194.6, 21.0: 0.0, 21.5: 3450.72, 22.0: 10.32, 22.5: 2040.95, 23.5: 2279.81, 24.5: 193.33, 25.5: 16.99, 26.5: 1.76}	{14.5: 0.0, 15.5: 0.06, 16.5: 0.0, 18.5: 14.75, 19.5: 36.85, 20.5: 2133.48, 21.0: 0.0, 21.5: 249.61, 22.0: 0.21, 22.5: 290.13, 23.5: 38.63, 24.5: 1.56, 25.5: 0.62, 26.5: 0.01}	{14.5: 5.43, 15.5: 48.74, 16.5: 6.64, 18.5: 155.77, 19.5: 600.44, 20.5: 4950.45, 21.0: 0.0, 21.5: 6818.6, 22.0: 0.26, 22.5: 2285.98, 23.5: 6771.69, 24.5: 236.8, 25.5: 193.45, 26.5: 0.84}	{14.5: 9.82, 15.5: 79.61, 16.5: 7.04, 18.5: 254.14, 19.5: 625.19, 20.5: 7307.79, 21.0: 0.0, 21.5: 8233.83, 22.0: 0.53, 22.5: 3325.01, 23.5: 8646.42, 24.5: 453.21, 25.5: 227.8, 26.5: 3.6}
creatinine	10	126483088	126483103	10_126180434_126684506	A	{16.0: 143570.52, 17.0: 517539.48, 18.0: 0.0}	4.44e-19	+	confidently	0.800083722058672	0.972422	0.807217323420635	0.986351	0.976146	0.981818	0.987035	0.972422	0.514725867220592	0.8021	0.987046	0.924, 0.97, 0.932, 0.184, 0.00195	NA, NA, NA, NA, +	{16.0: 4374.57, 17.0: 9083.43, 18.0: 0.0}	{16.0: 1980.71, 17.0: 11459.29, 18.0: 0.0}	{16.0: 798.49, 17.0: 1965.51, 18.0: 0.0}	{16.0: 5164.27, 17.0: 16913.73, 18.0: 0.0}	{16.0: 6401.9, 17.0: 22772.1, 18.0: 0.0}
cystatin_c	10	126483088	126483103	10_126110373_126689695	A	{16.0: 143624.24, 17.0: 517697.76, 18.0: 0.0}	3.47e-39	+	not	0.0	0.00460938										0.717, 0.631, 0.642, 0.00105, 0.00756	NA, NA, NA, +, +	{16.0: 4368.16, 17.0: 9095.84, 18.0: 0.0}	{16.0: 1986.02, 17.0: 11453.98, 18.0: 0.0}	{16.0: 802.5, 17.0: 1965.5, 18.0: 0.0}	{16.0: 5170.49, 17.0: 16917.51, 18.0: 0.0}	{16.0: 6410.21, 17.0: 22785.79, 18.0: 0.0}
urea	10	126483088	126483103	10_126191133_126817430	A	{16.0: 143601.46, 17.0: 517440.54, 18.0: 0.0}	2.49e-13	+	not	0.0	0.446867										0.398, 0.922, 0.604, 0.603, 0.0696	NA, NA, NA, NA, NA	{16.0: 4374.63, 17.0: 9083.37, 18.0: 0.0}	{16.0: 1978.45, 17.0: 11461.55, 18.0: 0.0}	{16.0: 794.5, 17.0: 1967.5, 18.0: 0.0}	{16.0: 5166.05, 17.0: 16901.95, 18.0: 0.0}	{16.0: 6403.42, 17.0: 22762.58, 18.0: 0.0}
aspartate_aminotransferase	11	2982732	2982747	11_2828723_3197576	A	{15.0: 61316.58, 16.0: 401124.09, 17.0: 196906.76, 18.0: 36.6}	2.53e-11	-	not	0.0	0.000452051										0.694, 0.0514, 0.85, 0.0127, 0.989	NA, NA, NA, -, NA	{15.0: 6160.09, 16.0: 6466.57, 17.0: 769.3, 18.0: 0.04}	{15.0: 1133.2, 16.0: 7337.56, 17.0: 4929.02, 18.0: 0.22}	{15.0: 25.32, 16.0: 908.65, 17.0: 1804.03, 18.0: 0.0}	{15.0: 1879.95, 16.0: 13500.83, 17.0: 6629.67, 18.0: 1.55}	{15.0: 2719.17, 16.0: 17252.37, 17.0: 9087.92, 18.0: 2.54}
calcium	11	2982732	2982747	11_2808605_3232154	A	{15.0: 56968.49, 16.0: 373769.97, 17.0: 183365.45, 18.0: 34.11}	1.27e-31	-	confidently	0.999980366879562	1.0	0.99999688130186	1.0	0.990932	1.0	1.0	1.0	0.999950850263127	0.783557	0.937647	0.26, 0.0792, 0.295, 0.387, 0.603	NA, NA, NA, NA, NA	{15.0: 5744.56, 16.0: 6052.14, 17.0: 719.26, 18.0: 0.04}	{15.0: 1043.74, 16.0: 6770.08, 17.0: 4488.01, 18.0: 0.17}	{15.0: 25.26, 16.0: 835.97, 17.0: 1672.77, 18.0: 0.0}	{15.0: 1713.65, 16.0: 12439.63, 17.0: 6169.29, 18.0: 1.43}	{15.0: 2527.13, 16.0: 15873.11, 17.0: 8367.26, 18.0: 2.5}
haematocrit	11	8845751	8845763	11_8522090_9192547	A	{12.0: 332319.24, 13.0: 314637.21, 14.0: 24213.55}	4.97e-9	+	not	0.0	0.0										0.518, 0.00784, 0.716, 0.207, 0.00418	NA, +, NA, NA, +	{12.0: 3476.6, 13.0: 10054.31, 14.0: 43.09}	{12.0: 5864.66, 13.0: 7392.84, 14.0: 318.5}	{12.0: 1607.52, 13.0: 1212.47, 14.0: 0.01}	{12.0: 10928.12, 13.0: 10651.86, 14.0: 866.02}	{12.0: 13801.05, 13.0: 15019.59, 14.0: 873.36}
haemoglobin_concentration	11	8845751	8845763	11_8522089_9192547	A	{12.0: 332420.86, 13.0: 314574.26, 14.0: 24174.88}	7.82e-10	+	not	0.0	0.0										0.624, 0.0202, 0.425, 0.281, 0.00395	NA, +, NA, NA, +	{12.0: 3479.74, 13.0: 10050.28, 14.0: 43.98}	{12.0: 5843.33, 13.0: 7415.16, 14.0: 317.51}	{12.0: 1609.51, 13.0: 1210.48, 14.0: 0.01}	{12.0: 10928.49, 13.0: 10653.48, 14.0: 864.03}	{12.0: 13790.71, 13.0: 15028.98, 14.0: 874.31}
mean_platelet_volume	11	8845751	8845763	11_8617865_9127932	A	{12.0: 332535.16, 13.0: 314347.22, 14.0: 24279.62}	1.29e-13	-	not	0.0	0.0108343										0.747, 0.735, 0.829, 0.26, 0.0581	NA, NA, NA, NA, NA	{12.0: 3485.99, 13.0: 10043.9, 14.0: 44.11}	{12.0: 5873.1, 13.0: 7382.4, 14.0: 320.5}	{12.0: 1605.53, 13.0: 1214.46, 14.0: 0.01}	{12.0: 10922.44, 13.0: 10660.62, 14.0: 862.94}	{12.0: 13799.95, 13.0: 15020.66, 14.0: 873.39}
platelet_count	11	8845751	8845763	11_8597440_9209101	A	{12.0: 332541.07, 13.0: 314423.57, 14.0: 24205.36}	2.02e-32	+	confidently	0.988371964571895	0.995311	0.985351333715069	0.998013	0.991779	1.0	1.0	0.995311	0.946388999848901	0.968379	1.0	0.88, 0.245, 0.926, 0.636, 0.0203	NA, NA, NA, NA, +	{12.0: 3474.26, 13.0: 10055.54, 14.0: 44.2}	{12.0: 5874.82, 13.0: 7381.68, 14.0: 319.5}	{12.0: 1609.66, 13.0: 1210.33, 14.0: 0.01}	{12.0: 10912.42, 13.0: 10663.48, 14.0: 870.1}	{12.0: 13792.05, 13.0: 15030.49, 14.0: 871.46}
platelet_crit	11	8845751	8845763	11_8617865_9192368	A	{12.0: 332365.89, 13.0: 314301.67, 14.0: 24214.44}	1.13e-18	+	not	0.0	0.0530335										0.872, 0.166, 0.97, 0.996, 0.127	NA, NA, NA, NA, NA	{12.0: 3479.54, 13.0: 10051.47, 14.0: 42.99}	{12.0: 5846.58, 13.0: 7404.91, 14.0: 324.51}	{12.0: 1607.37, 13.0: 1212.62, 14.0: 0.01}	{12.0: 10925.02, 13.0: 10654.98, 14.0: 866.0}	{12.0: 13790.15, 13.0: 15031.31, 14.0: 872.54}
red_blood_cell_count	11	8845751	8845763	11_8482761_9192547	A	{12.0: 332459.85, 13.0: 314523.57, 14.0: 24186.58}	4.07e-10	+	not	0.0	0.0										0.138, 0.0408, 0.11, 0.499, 9.23e-6	NA, +, NA, NA, +	{12.0: 3499.35, 13.0: 10029.67, 14.0: 44.98}	{12.0: 5870.84, 13.0: 7388.66, 14.0: 316.5}	{12.0: 1603.63, 13.0: 1216.36, 14.0: 0.01}	{12.0: 10943.41, 13.0: 10626.77, 14.0: 875.82}	{12.0: 13795.3, 13.0: 15023.27, 14.0: 875.43}
apolipoprotein_a	11	47332459	47332474	11_46179187_50905592	A	{15.0: 413289.82, 16.0: 92520.08, 17.0: 96584.51, 18.0: 8767.72}	1.67e-42	+	confidently	0.995468687920397	1.0	0.99169737794049	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0992384	0.918, 0.199, 0.4, 0.00482, 0.00171	NA, NA, NA, +, +	{15.0: 6039.45, 16.0: 1502.46, 17.0: 4914.67, 18.0: 11.42}	{15.0: 6744.68, 16.0: 2860.84, 17.0: 2645.09, 18.0: 25.39}	{15.0: 751.0, 16.0: 241.96, 17.0: 1508.77, 18.0: 4.28}	{15.0: 13762.7, 16.0: 2961.12, 17.0: 3131.88, 18.0: 360.3}	{15.0: 18663.32, 16.0: 3615.63, 17.0: 4061.14, 18.0: 251.92}
c_reactive_protein	11	47332459	47332474	11_46181206_50905592	A	{15.0: 446272.44, 16.0: 100015.3, 17.0: 104436.22, 18.0: 9478.15}	7.61e-24	-	not	0.0	0.07665										0.0605, 0.571, 0.738, 0.0212, 0.0795	NA, NA, NA, -, NA	{15.0: 6551.45, 16.0: 1609.37, 17.0: 5268.76, 18.0: 12.42}	{15.0: 7333.68, 16.0: 3137.57, 17.0: 2896.8, 18.0: 25.96}	{15.0: 829.14, 16.0: 271.0, 17.0: 1650.79, 18.0: 5.08}	{15.0: 15004.7, 16.0: 3236.65, 17.0: 3414.49, 18.0: 400.16}	{15.0: 20442.32, 16.0: 3935.17, 17.0: 4463.34, 18.0: 275.18}
cystatin_c	11	47332459	47332474	11_47123286_48357931	A	{15.0: 446975.31, 16.0: 100062.03, 17.0: 104803.61, 18.0: 9481.16}	2.09e-8	-	not	0.0	0.0										0.294, 0.067, 0.657, 0.312, 0.00477	NA, NA, NA, NA, -	{15.0: 6555.45, 16.0: 1614.34, 17.0: 5282.12, 18.0: 12.09}	{15.0: 7368.68, 16.0: 3138.43, 17.0: 2906.53, 18.0: 26.37}	{15.0: 835.14, 16.0: 266.0, 17.0: 1661.78, 18.0: 5.09}	{15.0: 15012.7, 16.0: 3254.48, 17.0: 3417.85, 18.0: 402.97}	{15.0: 20505.32, 16.0: 3943.17, 17.0: 4472.3, 18.0: 275.22}
glucose	11	47332459	47332474	11_46336460_48068419	A	{15.0: 414920.41, 16.0: 92990.25, 17.0: 97072.09, 18.0: 8791.38}	2.04e-13	+	not	0.0	0.0										0.112, 0.944, 0.792, 0.243, 0.013	NA, NA, NA, NA, +	{15.0: 6058.45, 16.0: 1507.47, 17.0: 4923.99, 18.0: 12.09}	{15.0: 6744.68, 16.0: 2871.58, 17.0: 2658.97, 18.0: 24.77}	{15.0: 765.0, 16.0: 243.96, 17.0: 1518.77, 18.0: 4.28}	{15.0: 13789.7, 16.0: 2978.61, 17.0: 3156.0, 18.0: 367.69}	{15.0: 18775.32, 16.0: 3637.64, 17.0: 4090.39, 18.0: 252.66}
glycated_haemoglobin	11	47332459	47332474	11_46434730_50907777	A	{15.0: 447114.31, 16.0: 100120.12, 17.0: 104513.17, 18.0: 9544.53}	4.48e-11	+	not	0.0	0.0										0.258, 0.993, 0.18, 0.767, 0.265	NA, NA, NA, NA, NA	{15.0: 5757.47, 16.0: 1374.38, 17.0: 4567.7, 18.0: 10.45}	{15.0: 7316.7, 16.0: 3092.19, 17.0: 2866.91, 18.0: 24.21}	{15.0: 826.77, 16.0: 275.99, 17.0: 1664.17, 18.0: 5.08}	{15.0: 15034.15, 16.0: 3211.67, 17.0: 3417.64, 18.0: 396.54}	{15.0: 20478.33, 16.0: 3952.03, 17.0: 4452.59, 18.0: 275.05}
hdl_cholesterol	11	47332459	47332474	11_45587502_50907333	A	{15.0: 415094.6, 16.0: 93055.13, 17.0: 97147.94, 18.0: 8798.46}	3.02e-72	+	singly	0.299195030923461	0.977044	0.20350865272514	0.975435	0.960338	0.976189	0.986528	0.986094	0.23734650991341	0.884246	0.911497	0.324, 0.045, 0.971, 0.000534, 0.0000508	NA, +, NA, +, +	{15.0: 6081.45, 16.0: 1505.47, 17.0: 4916.66, 18.0: 12.42}	{15.0: 6734.68, 16.0: 2870.22, 17.0: 2663.03, 18.0: 26.07}	{15.0: 763.37, 16.0: 240.97, 17.0: 1523.39, 18.0: 4.28}	{15.0: 13839.7, 16.0: 2971.39, 17.0: 3139.1, 18.0: 365.81}	{15.0: 18787.32, 16.0: 3640.49, 17.0: 4092.93, 18.0: 253.27}
igf_1	11	47332459	47332474	11_45825428_50905592	A	{15.0: 445159.96, 16.0: 99608.58, 17.0: 104180.87, 18.0: 9442.72}	3.64e-33	+	not	0.0	0.0										0.0645, 0.113, 0.743, 0.000422, 0.0289	NA, NA, NA, +, +	{15.0: 6501.45, 16.0: 1600.34, 17.0: 5261.79, 18.0: 12.42}	{15.0: 7325.68, 16.0: 3105.47, 17.0: 2902.05, 18.0: 24.81}	{15.0: 828.77, 16.0: 271.99, 17.0: 1646.16, 18.0: 5.09}	{15.0: 14970.7, 16.0: 3210.04, 17.0: 3409.47, 18.0: 387.79}	{15.0: 20388.32, 16.0: 3929.95, 17.0: 4449.85, 18.0: 271.89}
lymphocyte_count	11	47332459	47332474	11_46265680_50905592	A	{15.0: 453282.72, 16.0: 101240.95, 17.0: 105979.3, 18.0: 9659.16}	9.16e-15	-	not	0.0	0.0										0.566, 0.7, 0.0305, 0.0000392, 0.734	NA, NA, -, -, NA	{15.0: 6598.45, 16.0: 1637.27, 17.0: 5285.87, 18.0: 14.41}	{15.0: 7450.68, 16.0: 3149.58, 17.0: 2916.94, 18.0: 24.81}	{15.0: 843.74, 16.0: 277.99, 17.0: 1693.19, 18.0: 5.09}	{15.0: 15205.15, 16.0: 3308.08, 17.0: 3482.42, 18.0: 400.35}	{15.0: 20806.32, 16.0: 4020.45, 17.0: 4538.92, 18.0: 276.32}
triglycerides	11	47332459	47332474	11_46070220_50896514	A	{15.0: 446739.95, 16.0: 99963.79, 17.0: 104730.38, 18.0: 9494.01}	9.67e-19	-	not	0.0	0.0										0.0944, 0.0996, 0.991, 0.0582, 0.816	NA, NA, NA, NA, NA	{15.0: 6541.45, 16.0: 1623.34, 17.0: 5280.79, 18.0: 12.42}	{15.0: 7358.68, 16.0: 3141.26, 17.0: 2904.99, 18.0: 25.08}	{15.0: 831.14, 16.0: 269.0, 17.0: 1658.79, 18.0: 5.08}	{15.0: 14990.7, 16.0: 3240.03, 17.0: 3442.08, 18.0: 395.19}	{15.0: 20483.32, 16.0: 3942.18, 17.0: 4461.36, 18.0: 275.15}
albumin	11	119077000	119077033	11_118375744_119317956	CCG	{5.33: 1138.08, 7.33: 2021.44, 8.33: 579.55, 10.33: 234.46, 11.33: 439284.04, 12.33: 55951.29, 13.33: 41674.0, 14.33: 42898.25, 15.33: 1555.37, 16.33: 685.5, 17.33: 18653.16, 18.33: 1921.8, 19.33: 318.11, 20.33: 28.41, 21.33: 111.81, 22.33: 237.83, 23.33: 1316.62, 24.33: 1465.76, 25.33: 2223.08, 26.33: 42.21, 28.33: 0.0, 29.33: 0.0, 30.33: 2127.01, 31.33: 0.0}	1.14e-11	+	not	0.0	0.0										0.42, 0.0211, 0.219, 0.922, 0.33	NA, +, NA, NA, NA	{5.33: 1.96, 7.33: 1.83, 8.33: 1926.16, 10.33: 660.06, 11.33: 7778.68, 12.33: 1410.2, 13.33: 546.64, 14.33: 118.6, 15.33: 9.54, 16.33: 1.06, 17.33: 26.18, 18.33: 8.21, 19.33: 0.83, 20.33: 0.0, 21.33: 8.48, 22.33: 0.34, 23.33: 4.12, 24.33: 7.08, 25.33: 4.94, 26.33: 1.14, 28.33: 0.0, 29.33: 0.0, 30.33: 2.31, 31.33: 0.0}	{5.33: 7.67, 7.33: 7.92, 8.33: 5.72, 10.33: 6.63, 11.33: 7378.02, 12.33: 815.66, 13.33: 264.59, 14.33: 2895.78, 15.33: 165.16, 16.33: 2.75, 17.33: 157.86, 18.33: 122.15, 19.33: 11.17, 20.33: 0.07, 21.33: 236.93, 22.33: 4.41, 23.33: 2.99, 24.33: 187.86, 25.33: 19.75, 26.33: 1.36, 28.33: 0.0, 29.33: 0.0, 30.33: 4.44, 31.33: 0.0}	{5.33: 0.5, 7.33: 0.07, 8.33: 1.89, 10.33: 1.56, 11.33: 1876.91, 12.33: 69.5, 13.33: 52.75, 14.33: 160.7, 15.33: 292.35, 16.33: 0.05, 17.33: 5.01, 18.33: 47.64, 19.33: 0.18, 20.33: 0.0, 21.33: 2.17, 22.33: 0.61, 23.33: 0.06, 24.33: 17.15, 25.33: 0.4, 26.33: 0.19, 28.33: 0.0, 29.33: 0.0, 30.33: 0.84, 31.33: 0.0}	{5.33: 23.1, 7.33: 219.14, 8.33: 12.29, 10.33: 8.86, 11.33: 14063.94, 12.33: 1773.32, 13.33: 1547.61, 14.33: 1457.64, 15.33: 46.34, 16.33: 19.55, 17.33: 784.86, 18.33: 54.73, 19.33: 10.07, 20.33: 0.74, 21.33: 2.2, 22.33: 5.25, 23.33: 47.29, 24.33: 56.52, 25.33: 84.59, 26.33: 1.05, 28.33: 0.0, 29.33: 0.0, 30.33: 115.55, 31.33: 0.0}	{5.33: 51.36, 7.33: 64.79, 8.33: 74.49, 10.33: 17.76, 11.33: 19398.3, 12.33: 2593.68, 13.33: 1527.99, 14.33: 1693.72, 15.33: 119.27, 16.33: 32.6, 17.33: 716.58, 18.33: 115.17, 19.33: 14.31, 20.33: 1.89, 21.33: 11.15, 22.33: 33.03, 23.33: 50.24, 24.33: 78.93, 25.33: 90.34, 26.33: 5.81, 28.33: 0.0, 29.33: 0.0, 30.33: 96.41, 31.33: 0.0}
calcium	11	119077000	119077033	11_118664657_119303050	CCG	{5.33: 1139.77, 7.33: 2026.52, 8.33: 582.56, 10.33: 232.98, 11.33: 439026.28, 12.33: 55901.06, 13.33: 41691.86, 14.33: 42958.71, 15.33: 1556.82, 16.33: 689.67, 17.33: 18683.22, 18.33: 1919.48, 19.33: 320.82, 20.33: 28.25, 21.33: 116.99, 22.33: 232.46, 23.33: 1320.94, 24.33: 1464.82, 25.33: 2223.28, 26.33: 42.77, 28.33: 0.0, 29.33: 0.0, 30.33: 2116.82, 31.33: 0.0}	5.11e-10	+	not	0.0	0.21003	0.0	0.23297	0.21348	0.216488	0.23923	0.190206	0.0	0.0197245	0.379651	0.489, 0.111, 0.0114, 0.0193, 0.807	NA, NA, +, +, NA	{5.33: 2.0, 7.33: 1.64, 8.33: 1925.64, 10.33: 655.82, 11.33: 7780.08, 12.33: 1411.3, 13.33: 547.11, 14.33: 117.89, 15.33: 9.38, 16.33: 1.08, 17.33: 26.79, 18.33: 8.29, 19.33: 0.84, 20.33: 0.0, 21.33: 8.46, 22.33: 0.34, 23.33: 4.16, 24.33: 7.13, 25.33: 4.97, 26.33: 1.14, 28.33: 0.0, 29.33: 0.0, 30.33: 2.31, 31.33: 0.0}	{5.33: 7.69, 7.33: 7.7, 8.33: 5.74, 10.33: 7.46, 11.33: 7393.0, 12.33: 815.45, 13.33: 262.47, 14.33: 2893.68, 15.33: 164.15, 16.33: 2.72, 17.33: 155.85, 18.33: 122.37, 19.33: 11.13, 20.33: 0.07, 21.33: 237.97, 22.33: 4.38, 23.33: 2.99, 24.33: 186.43, 25.33: 18.77, 26.33: 1.36, 28.33: 0.0, 29.33: 0.0, 30.33: 5.43, 31.33: 0.0}	{5.33: 0.5, 7.33: 0.07, 8.33: 1.89, 10.33: 1.56, 11.33: 1878.9, 12.33: 68.92, 13.33: 53.01, 14.33: 161.69, 15.33: 294.18, 16.33: 0.05, 17.33: 5.03, 18.33: 47.07, 19.33: 0.18, 20.33: 0.0, 21.33: 2.15, 22.33: 0.64, 23.33: 0.06, 24.33: 17.2, 25.33: 0.4, 26.33: 0.19, 28.33: 0.0, 29.33: 0.0, 30.33: 0.84, 31.33: 0.0}	{5.33: 23.1, 7.33: 210.44, 8.33: 12.29, 10.33: 8.93, 11.33: 14054.76, 12.33: 1759.83, 13.33: 1559.97, 14.33: 1469.09, 15.33: 46.23, 16.33: 19.65, 17.33: 788.03, 18.33: 53.37, 19.33: 10.07, 20.33: 0.74, 21.33: 1.67, 22.33: 5.35, 23.33: 47.54, 24.33: 55.98, 25.33: 84.15, 26.33: 1.05, 28.33: 0.0, 29.33: 0.0, 30.33: 116.37, 31.33: 0.0}	{5.33: 51.02, 7.33: 65.81, 8.33: 74.49, 10.33: 17.76, 11.33: 19385.04, 12.33: 2595.22, 13.33: 1529.94, 14.33: 1690.48, 15.33: 119.87, 16.33: 32.67, 17.33: 717.18, 18.33: 116.25, 19.33: 14.25, 20.33: 1.89, 21.33: 11.15, 22.33: 32.68, 23.33: 49.98, 24.33: 78.03, 25.33: 89.81, 26.33: 5.81, 28.33: 0.0, 29.33: 0.0, 30.33: 96.45, 31.33: 0.0}
mean_corpuscular_volume	11	119077000	119077033	11_118841521_119202000	CCG	{5.33: 1233.1, 7.33: 2220.78, 8.33: 629.73, 10.33: 254.07, 11.33: 480156.49, 12.33: 61167.45, 13.33: 45388.14, 14.33: 46773.23, 15.33: 1686.14, 16.33: 754.18, 17.33: 20376.74, 18.33: 2072.14, 19.33: 348.88, 20.33: 31.24, 21.33: 132.59, 22.33: 260.95, 23.33: 1423.27, 24.33: 1599.92, 25.33: 2421.64, 26.33: 44.73, 28.33: 0.0, 29.33: 0.0, 30.33: 2344.35, 31.33: 0.0}	6.4e-9	-	doubly	0.99833322446661	0.996772										0.233, 0.713, 0.348, 0.306, 0.0617	NA, NA, NA, NA, NA	{5.33: 2.02, 7.33: 3.34, 8.33: 2079.32, 10.33: 706.07, 11.33: 8432.39, 12.33: 1524.26, 13.33: 609.5, 14.33: 132.31, 15.33: 9.78, 16.33: 1.22, 17.33: 33.23, 18.33: 8.92, 19.33: 0.95, 20.33: 0.0, 21.33: 10.19, 22.33: 0.38, 23.33: 4.41, 24.33: 7.61, 25.33: 4.99, 26.33: 1.15, 28.33: 0.0, 29.33: 0.0, 30.33: 2.34, 31.33: 0.0}	{5.33: 8.21, 7.33: 7.73, 8.33: 6.31, 10.33: 8.0, 11.33: 8154.82, 12.33: 893.56, 13.33: 288.29, 14.33: 3189.41, 15.33: 185.36, 16.33: 3.64, 17.33: 177.33, 18.33: 133.6, 19.33: 10.75, 20.33: 0.08, 21.33: 265.26, 22.33: 5.04, 23.33: 3.59, 24.33: 211.27, 25.33: 22.25, 26.33: 1.55, 28.33: 0.0, 29.33: 0.0, 30.33: 5.11, 31.33: 0.0}	{5.33: 0.52, 7.33: 0.08, 8.33: 1.92, 10.33: 1.58, 11.33: 2102.43, 12.33: 73.18, 13.33: 59.96, 14.33: 178.85, 15.33: 319.45, 16.33: 0.05, 17.33: 5.78, 18.33: 51.09, 19.33: 0.23, 20.33: 0.0, 21.33: 2.29, 22.33: 0.71, 23.33: 0.14, 24.33: 20.87, 25.33: 0.44, 26.33: 0.19, 28.33: 0.0, 29.33: 0.0, 30.33: 0.88, 31.33: 0.0}	{5.33: 23.85, 7.33: 221.25, 8.33: 13.0, 10.33: 9.86, 11.33: 15505.69, 12.33: 1973.97, 13.33: 1713.51, 14.33: 1616.13, 15.33: 51.71, 16.33: 24.07, 17.33: 878.81, 18.33: 61.13, 19.33: 11.11, 20.33: 0.79, 21.33: 2.47, 22.33: 8.22, 23.33: 55.24, 24.33: 63.27, 25.33: 93.51, 26.33: 1.07, 28.33: 0.0, 29.33: 0.0, 30.33: 122.42, 31.33: 0.0}	{5.33: 56.63, 7.33: 73.24, 8.33: 86.56, 10.33: 20.59, 11.33: 21475.96, 12.33: 2904.93, 13.33: 1702.31, 14.33: 1882.48, 15.33: 130.44, 16.33: 35.08, 17.33: 790.07, 18.33: 128.29, 19.33: 15.31, 20.33: 1.95, 21.33: 13.91, 22.33: 34.35, 23.33: 53.39, 24.33: 86.03, 25.33: 99.43, 26.33: 6.37, 28.33: 0.0, 29.33: 0.0, 30.33: 103.09, 31.33: 0.0}
